Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842076471,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842077501,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842078531,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842079563,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842080593,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842081605,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842082636,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842083668,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842084701,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842085730,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842086742,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842087774,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842088806,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842089835,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842090918,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842092046,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842093328,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842094356,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842095387,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842096416,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842097441,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842098452,vlad,1435842085,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435842099484,vlad,1435842085,449805108
