,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,RSSI,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,452,1653,660,250,1,Парк Победы 3,2G,EDGE,-1,-81,1417104973794,md,718362066,0.0,216$,$165,37.51849,55.73608999999999
1,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-81,1417104974763,md,718362066,0.00019399235710189578,216$,$165,37.5184812688826,55.73609291037272
2,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-81,1417104975798,md,718362066,0.0008297217805440126,216$,$165,37.51845199607467,55.736101667491866
3,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-83,1417104976819,md,718362066,0.0018905482275130686,216$,$165,37.518399958643144,55.73611250867007
4,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-83,1417104977837,md,718362066,0.003377104147883906,216$,$165,37.51832703761809,55.73612770061058
5,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-83,1417104978861,md,718362066,0.005304431063189804,216$,$165,37.51823249515767,55.73614739702587
6,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-85,1417104979919,md,718362066,0.007750846950428606,216$,$165,37.518112489477595,55.73617239828294
7,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-85,1417104980932,md,718362066,0.010526647104369312,216$,$165,37.517976326290075,55.736200765677935
8,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-85,1417104981945,md,718362066,0.013726466799180439,216$,$165,37.51781936338749,55.73623346633114
9,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-83,1417104982992,md,718362066,0.01747929064723561,216$,$165,37.51763527360111,55.73627181839194
10,1,452,,660,250,1,ServiceLog,2G,EDGE,-1,-83,1417104984018,md,718362066,0.02159626534943328,216$,$165,37.51743332087853,55.73631389185656
11,1,6899758,,660,250,1,ServiceLog,3G,UMTS,-1,-83,1417104985131,md,718362066,0.026554203464786534,216$,$165,37.51719011581336,55.73636455949511
12,1,6899758,,660,250,1,ServiceLog,3G,UMTS,-1,-83,1417104986161,md,718362066,0.03159844449803157,216$,$165,37.51694267727324,55.736416109038636
